Event_id,Rating,People,Review,Name,Price
1,5.0,7,Fabulous,"SPOT ON 64361 Casa Arambol Homestay SPOTNear Deulwada, Goa",₹1231
2,5.0,4,Fabulous,"OYO 23067 Kartik ResortAshvem Beach, Goa",₹1819
3,4.8,340,Excellent,"OYO 6956 Hotel JoaquimNear Snow Park, Baga, Goa








6 people booked this hotel in last 6 hours",₹1917
4,4.8,114,Excellent,"OYO Home 63196 Peaceful Studios CalanguteNear St. Alex Church, Bardez, Goa",₹1882
5,4.8,99,Excellent,"OYO 68736 Dhuni ResortsOpposite Sunset Point, Anjuna Beach Road - Anjuna


Hurry. Only 1 room left",₹1495
6,4.8,21,Excellent,"OYO 22742 Graceful Stay MorjimNear Dadoba Temple, Morjim, Goa


Hurry. Only 1 room left",₹2482
7,4.7,1123,Excellent,"Collection O 39789 Shelsta Holiday ResortNear Calangute - Baga Road, Goa








14 people booked this hotel today",₹4102
8,4.7,794,Excellent,"Capital O 10984 Lagom Comfort DeluxeNear Artjuna, Anjuna, Goa


Hurry. Only 1 room left",₹4597
9,4.7,126,Excellent,"OYO 64285 Shane's Beach ResortNear Baga Beach, Tito's Lane, Goa",₹1977
10,4.7,93,Excellent,"OYO 17094 Pool View StudioSFX Higher secondary School, Uddo Beach, Goa",₹1358
11,4.7,54,Excellent,"SPOT ON 61370 Piya Guest House SPOTNear Khalchawada, Goa


Hurry. Only 1 room left",₹1438
12,4.7,52,Excellent,"OYO Home 69781 Greenfield View Stay CandolimCandolim, Goa",₹2365
13,4.6,930,Excellent,"SPOT ON 40731 Hotel Raviraj Classic SPOTMargao - Quepem Rd, Goa


Hurry. Only 1 room left",₹1014
14,4.6,751,Excellent,"SPOT ON 36887 PS Guest House SPOTNear Little Flower of Jesus High School, Bardez, Goa


Hurry. Only 1 room left",₹871
15,4.6,672,Excellent,"OYO Townhouse 256 Silver Palm ResortNear Induslnd Bank, Novotel, Goa


Hurry. Only 1 room left",₹3420
16,4.6,667,Excellent,"OYO 15125 Modern Studio Near Deltin Royale Near Mall De, Goa",₹1675
17,4.6,636,Excellent,"OYO 10496 Exotic 2 BHKCucheli Charrasta, Siolim, Goa








12 people booked this hotel today",₹1479
18,4.6,601,Excellent,"OYO 24443 Beach Side Studios CalanguteNear Calangute Beach, Goa",₹1759
19,4.6,568,Excellent,"OYO Home 36551 Design Studios Near CalanguteNear Navnath Bhumica Temple, Nagao, Goa








9 people booked this hotel today",₹2728
20,4.6,471,Excellent,"OYO Townhouse 031 Ashvem BeachNear Ashwem Beach, Goa








13 people booked this hotel today",₹3301
21,4.6,332,Excellent,"OYO 5242 Zinho's DeluxeNear Titos Lane, Baga Beach, Goa


Hurry. Only 1 room left",₹3316
22,4.6,270,Excellent,"OYO 12783 Beach facing CottageNear fisherman's Point


Hurry. Only 1 room left",₹2792
23,4.6,237,Excellent,"OYO 24515 Designer StayPilerne Road, Porvorim, Goa",₹946
24,4.6,212,Excellent,"OYO 17334 Sulit ComfortsNear Calangute, Goa


Hurry. Only 1 room left",₹1777
25,4.6,197,Excellent,"OYO Home 64158 Sunshine Studios VagatorNear Corporation Bank, Bardez, Goa",₹1828
26,4.6,182,Excellent,"Capital O 9756 Era Hidden ParadiseOpposite Caju Varo, Ashwem- Mandrem, Goa",₹2117
27,4.6,137,Excellent,"OYO 60359 Radiant Studio Near Vagator BeachNear Vagator Beach, Vagator, Goa


Hurry. Only 1 room left",₹1555
28,4.6,134,Excellent,"OYO Home 63968 Elegant Studio Near Mandovi RiverFish Marketing, Betim, Goa


Hurry. Only 1 room left",₹2031
29,4.6,100,Excellent,"OYO 9378 Home Stay near Baga BeachNear Baga Beach, Goa


Hurry. Only 1 room left",₹1520
30,4.6,76,Excellent,"OYO Home 62991 Peaceful Studio Near CalanguteBardez, Goa",₹1886
31,4.6,68,Excellent,"Capital O 35477 The Long BayNear Morjim Beach, Goa


Hurry. Only 1 room left",₹1978
32,4.6,64,Excellent,"Capital O 63761 LA Blanca Resorts DeluxeAgarwada Rd Mandrem, Goa








17 people booked this hotel in last 6 hours",₹2072
33,4.6,27,Excellent,"OYO 69124 Hotel Lalit Royal Ashvem DeluxeAshvem Beach Road Near Big Baniyan Tree Ashvem, Goa",₹951
